Hospital Name,City,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
NORTHWEST MEDICAL CENTER,TUCSON,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
SCOTTSDALE SHEA MEDICAL CENTER,SCOTTSDALE,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Below the national average,Above the national average,Above the national average
BANNER BAYWOOD MEDICAL CENTER,MESA,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
BANNER THUNDERBIRD MEDICAL CENTER,GLENDALE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
HONORHEALTH DEER VALLEY MEDICAL CENTER,PHOENIX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
BANNER DEL E. WEBB MEDICAL CENTER,SUN CITY WEST,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
ABRAZO ARROWHEAD CAMPUS,GLENDALE,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Not Available
WESTERN ARIZONA REGIONAL MEDICAL CENTER,BULLHEAD CITY,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
MAYO CLINIC HOSPITAL,PHOENIX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
BANNER HEART HOSPITAL,MESA,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Above the national average,Above the national average,Above the national average,Above the national average,Not Available,Not Available,Not Available
ARIZONA SPINE AND JOINT HOSPITAL,MESA,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
"CORE INSTITUTE SPECIALTY HOSPITAL, THE",PHOENIX,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
ABRAZO WEST CAMPUS,GOODYEAR,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,TUCSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
ARIZONA SPECIALTY HOSPITAL,CHANDLER,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
WHITERIVER PHS INDIAN HOSPITAL,WHITERIVER,Acute Care Hospitals,Government - Federal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
ORO VALLEY HOSPITAL,ORO VALLEY,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
BANNER ESTRELLA MEDICAL CENTER,PHOENIX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
VALLEY VIEW MEDICAL CENTER,FORT MOHAVE,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
MERCY GILBERT MEDICAL CENTER,GILBERT,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
GILBERT HOSPITAL,GILBERT,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Below the national average,Same as the national average,Same as the national average,Not Available
"MOUNTAIN VISTA MEDICAL CENTER, LP",MESA,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
BANNER GATEWAY MEDICAL CENTER,GILBERT,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,SCOTTSDALE,Acute Care Hospitals,Proprietary,Yes,4,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average
BANNER IRONWOOD MEDICAL CENTER,SAN TAN VALLEY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
O.A.S.I.S. HOSPITAL,PHOENIX,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Above the national average,Not Available,Above the national average,Not Available,Not Available,Not Available
"FLORENCE HOSPITAL AT ANTHEM, LLC",FLORENCE,Acute Care Hospitals,Proprietary,Yes,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
BANNER GOLDFIELD MEDICAL CENTER,APACHE JUNCTION,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available
DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,LAVEEN,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
GREEN VALLEY HOSPITAL,GREEN VALLEY,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
